Format Version,1.23,Take Name,Take 2025-12-17 06.35.01 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.35.01.503 PM,Capture Start Frame,10755390,Total Frames in Take,16256,Total Exported Frames,16256,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032
,ID,"1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0","1A7CDF4D9ECDA9D11F0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
195,1.625000,1.891430,0.155849,-0.959634
196,1.633000,1.891694,0.155817,-0.959003
197,1.642000,1.891626,0.155740,-0.958316
198,1.650000,1.891407,0.155798,-0.957772
199,1.658000,1.890874,0.155704,-0.957090
200,1.667000,1.890215,0.155746,-0.956848
201,1.675000,1.889518,0.155843,-0.956930
202,1.683000,1.888947,0.155918,-0.957356
203,1.692000,1.888399,0.155884,-0.957964
204,1.700000,1.888144,0.155903,-0.958610
205,1.708000,1.888350,0.156030,-0.959236
206,1.717000,1.888891,0.156097,-0.959913
207,1.725000,1.889494,0.155941,-0.960433
208,1.733000,1.890230,0.155829,-0.960510
209,1.742000,1.890900,0.155857,-0.960209
210,1.750000,1.891425,0.155860,-0.959617
211,1.758000,1.891692,0.155872,-0.959006
212,1.767000,1.891642,0.155741,-0.958354
213,1.775000,1.891434,0.155812,-0.957777
214,1.783000,1.890909,0.155722,-0.957097
215,1.792000,1.890226,0.155721,-0.956841
216,1.800000,1.889544,0.155859,-0.956931
217,1.808000,1.888942,0.155903,-0.957339
218,1.817000,1.888404,0.155891,-0.957962
219,1.825000,1.888157,0.155917,-0.958572
220,1.833000,1.888338,0.156058,-0.959218
221,1.842000,1.888866,0.156088,-0.959904
222,1.850000,1.889481,0.155919,-0.960402
223,1.858000,1.890188,0.155801,-0.960511
224,1.867000,1.890873,0.155824,-0.960222
225,1.875000,1.891429,0.155875,-0.959655
226,1.883000,1.891685,0.155833,-0.959027
227,1.892000,1.891641,0.155753,-0.958378
228,1.900000,1.891418,0.155766,-0.957807
