Format Version,1.23,Take Name,Take 2025-12-17 06.07.01 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.07.01.513 PM,Capture Start Frame,10553788,Total Frames in Take,14436,Total Exported Frames,14436,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013
,ID,"19BCDF4D9ECDA9D11F0","19BCDF4D9ECDA9D11F0","19BCDF4D9ECDA9D11F0","19CCDF4D9ECDA9D11F0","19CCDF4D9ECDA9D11F0","19CCDF4D9ECDA9D11F0","19DCDF4D9ECDA9D11F0","19DCDF4D9ECDA9D11F0","19DCDF4D9ECDA9D11F0","19ECDF4D9ECDA9D11F0","19ECDF4D9ECDA9D11F0","19ECDF4D9ECDA9D11F0","19FCDF4D9ECDA9D11F0","19FCDF4D9ECDA9D11F0","19FCDF4D9ECDA9D11F0","1A0CDF4D9ECDA9D11F0","1A0CDF4D9ECDA9D11F0","1A0CDF4D9ECDA9D11F0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
6225,51.875000,,,,2.034839,0.155575,-0.872288,2.008136,0.058499,-0.970969,,,,,,,2.068151,0.063112,-0.762552
6226,51.883000,,,,2.032383,0.155582,-0.876755,2.005217,0.058475,-0.974729,,,,,,,2.067123,0.063338,-0.766950
6227,51.892000,,,,2.030370,0.155720,-0.881367,2.002226,0.058631,-0.978542,,,,,,,2.066101,0.063286,-0.771255
6228,51.900000,,,,2.028523,0.155814,-0.886074,1.999260,0.058573,-0.982273,,,,,,,2.064930,0.063393,-0.775513
6229,51.908000,,,,2.026919,0.155792,-0.890433,1.996265,0.058647,-0.985958,,,,,,,2.063899,0.063400,-0.779953
6230,51.917000,,,,2.025572,0.155714,-0.894824,1.993047,0.058581,-0.989676,,,,,,,2.062818,0.063316,-0.784216
6231,51.925000,,,,2.024125,0.155546,-0.898567,1.990157,0.058541,-0.993287,,,,,,,2.061564,0.063115,-0.788415
6232,51.933000,,,,2.022664,0.155473,-0.902308,1.987035,0.058452,-0.996971,,,,,,,2.060265,0.063161,-0.792706
6233,51.942000,,,,2.020851,0.155403,-0.905865,1.984005,0.058171,-1.000597,,,,,,,2.059110,0.063337,-0.797115
6234,51.950000,,,,2.018830,0.155421,-0.909039,1.980922,0.058379,-1.004241,,,,,,,2.057863,0.063385,-0.801383
6235,51.958000,,,,2.016397,0.155501,-0.911958,1.977898,0.058506,-1.007742,,,,,,,2.056503,0.063364,-0.805496
6236,51.967000,,,,2.013790,0.155534,-0.915195,1.974862,0.058631,-1.011266,,,,,,,2.055327,0.063393,-0.809860
6237,51.975000,,,,2.010899,0.155755,-0.918632,1.971600,0.058686,-1.014809,,,,,,,2.053901,0.063470,-0.814062
6238,51.983000,,,,2.007849,0.155779,-0.922391,1.968551,0.058690,-1.018269,,,,,,,2.052647,0.063500,-0.818348
6239,51.992000,,,,2.004756,0.155982,-0.926246,1.965277,0.058856,-1.021713,,,,,,,2.051220,0.063595,-0.822562
6240,52.000000,,,,2.001814,0.156074,-0.930491,1.962162,0.058826,-1.025160,,,,,,,2.049917,0.063580,-0.826696
6241,52.008000,,,,1.998848,0.156019,-0.934692,1.958782,0.058858,-1.028588,,,,,,,2.048579,0.063420,-0.830891
6242,52.017000,,,,1.996164,0.156060,-0.939209,1.955543,0.058777,-1.031993,,,,,,,2.047077,0.063443,-0.835144
6243,52.025000,,,,1.993683,0.156093,-0.943583,1.951985,0.058739,-1.035270,,,,,,,2.045361,0.063584,-0.839339
6244,52.033000,,,,1.991611,0.155968,-0.948000,1.948571,0.058840,-1.038501,,,,,,,2.043595,0.063792,-0.843396
6245,52.042000,,,,1.989473,0.155908,-0.952068,1.945008,0.058916,-1.041764,,,,,,,2.041883,0.063828,-0.847687
6246,52.050000,,,,1.987532,0.155853,-0.955942,1.941557,0.058897,-1.045005,,,,,,,2.040035,0.063763,-0.851659
6247,52.058000,,,,1.985625,0.155944,-0.959209,1.937903,0.059139,-1.048226,,,,,,,2.038168,0.063880,-0.855802
6248,52.067000,,,,1.983258,0.156031,-0.962059,1.934174,0.059277,-1.051248,,,,,,,2.036476,0.063953,-0.859962
6249,52.075000,,,,1.980623,0.156080,-0.965136,1.930441,0.059194,-1.054380,,,,,,,2.034552,0.064132,-0.864110
6250,52.083000,,,,1.977744,0.156037,-0.968120,1.926488,0.059209,-1.057471,,,,,,,2.032693,0.064021,-0.868187
6251,52.092000,,,,1.974489,0.155981,-0.970948,1.922695,0.059141,-1.060436,,,,,,,2.030816,0.064110,-0.872381
6252,52.100000,,,,1.971011,0.155928,-0.973894,1.918819,0.059117,-1.063495,,,,,,,2.028825,0.064201,-0.876509
6253,52.108000,,,,1.967260,0.155950,-0.977199,1.914846,0.059106,-1.066440,,,,,,,2.026656,0.064336,-0.880436
6254,52.117000,,,,1.963452,0.155966,-0.980486,1.911027,0.059004,-1.069219,,,,,,,2.024582,0.064223,-0.884381
6255,52.125000,,,,1.959517,0.156170,-0.983939,1.906854,0.059002,-1.071877,,,,,,,2.022443,0.064355,-0.888276
6256,52.133000,,,,1.955821,0.156194,-0.987706,1.902629,0.059101,-1.074559,,,,,,,2.020279,0.064284,-0.892162
6257,52.142000,,,,1.952307,0.156171,-0.991585,1.898412,0.059070,-1.077038,,,,,,,2.018070,0.064379,-0.895931
6258,52.150000,,,,1.948952,0.156349,-0.995282,1.894199,0.059068,-1.079584,,,,,,,2.015859,0.064416,-0.899757
6259,52.158000,,,,1.946031,0.156335,-0.999010,1.889773,0.059181,-1.081980,,,,,,,2.013610,0.064416,-0.903563
6260,52.167000,,,,1.943315,0.156419,-1.002739,1.885310,0.059343,-1.084310,,,,,,,2.011277,0.064169,-0.907185
6261,52.175000,,,,1.940703,0.156285,-1.006131,1.881021,0.059405,-1.086705,,,,,,,2.009070,0.064218,-0.911121
6262,52.183000,,,,1.938085,0.156232,-1.009042,1.876755,0.059391,-1.088976,,,,,,,2.006965,0.064217,-0.915299
6263,52.192000,,,,1.935643,0.156267,-1.011621,1.872261,0.059499,-1.091155,,,,,,,2.004634,0.064044,-0.919066
6264,52.200000,,,,1.932559,0.156266,-1.013751,1.867979,0.059629,-1.093466,,,,,,,2.002146,0.063835,-0.922652
6265,52.208000,,,,1.929253,0.156171,-1.015937,1.863602,0.059617,-1.095561,,,,,,,1.999624,0.064006,-0.926353
6266,52.217000,,,,1.925604,0.156360,-1.018162,1.859280,0.059671,-1.097762,,,,,,,1.997146,0.064176,-0.929898
6267,52.225000,,,,1.921830,0.156605,-1.020317,1.854968,0.059919,-1.099851,,,,,,,1.994585,0.064352,-0.933540
6268,52.233000,,,,1.917812,0.156468,-1.022542,1.850606,0.060049,-1.102075,,,,,,,1.991839,0.064362,-0.937089
6269,52.242000,,,,1.913643,0.156408,-1.025162,1.846423,0.060215,-1.104117,,,,,,,1.989015,0.064267,-0.940536
6270,52.250000,,,,1.909275,0.156546,-1.027940,1.842056,0.060225,-1.106157,,,,,,,1.986316,0.064329,-0.944089
6271,52.258000,,,,1.905182,0.156809,-1.031086,1.837744,0.060217,-1.108363,,,,,,,1.983704,0.064207,-0.947525
6272,52.267000,,,,1.901159,0.156999,-1.034468,1.833362,0.060261,-1.110361,,,,,,,1.980782,0.064345,-0.950996
6273,52.275000,,,,1.897215,0.157155,-1.037897,1.829074,0.060141,-1.112456,,,,,,,1.977969,0.064606,-0.954496
6274,52.283000,,,,1.893498,0.157168,-1.041245,1.824647,0.060037,-1.114557,,,,,,,1.975052,0.064687,-0.957958
6275,52.292000,,,,1.890219,0.157043,-1.044667,1.820291,0.060088,-1.116635,,,,,,,1.972000,0.064593,-0.961316
6276,52.300000,,,,1.887109,0.157180,-1.047576,1.815913,0.060144,-1.118648,,,,,,,1.969093,0.064418,-0.964615
6277,52.308000,,,,1.884002,0.157149,-1.050382,1.811550,0.060217,-1.120485,,,,,,,1.966155,0.064805,-0.968160
6278,52.317000,,,,1.880913,0.157119,-1.052896,1.806956,0.060024,-1.122359,,,,,,,1.963089,0.064992,-0.971556
6279,52.325000,,,,1.877647,0.157075,-1.055027,1.802426,0.060080,-1.124068,,,,,,,1.959987,0.064913,-0.974787
6280,52.333000,,,,1.874066,0.157032,-1.056874,1.797880,0.060149,-1.125936,,,,,,,1.956798,0.064850,-0.978117
6281,52.342000,,,,1.870295,0.157018,-1.058533,1.793362,0.060047,-1.127734,,,,,,,1.953797,0.064969,-0.981547
6282,52.350000,,,,1.866047,0.156988,-1.060399,1.788768,0.060041,-1.129551,,,,,,,1.950605,0.065141,-0.984930
6283,52.358000,,,,1.861486,0.156903,-1.062317,1.784150,0.059922,-1.131300,,,,,,,1.947339,0.065209,-0.988196
6284,52.367000,,,,1.856987,0.156766,-1.064811,1.779622,0.059665,-1.133104,,,,,,,1.944032,0.065258,-0.991389
6285,52.375000,,,,1.852413,0.156890,-1.067257,1.774930,0.059752,-1.134901,,,,,,,1.940584,0.065318,-0.994569
6286,52.383000,,,,1.847641,0.157224,-1.069573,1.770453,0.060115,-1.136626,,,,,,,1.937199,0.065203,-0.997734
6287,52.392000,,,,1.843210,0.157343,-1.072352,1.765905,0.060394,-1.138493,,,,,,,1.933859,0.065223,-1.000874
6288,52.400000,,,,1.838933,0.157491,-1.075459,1.761341,0.060352,-1.140256,,,,,,,1.930471,0.065269,-1.004038
6289,52.408000,,,,1.834784,0.157509,-1.078501,1.756719,0.060533,-1.141879,,,,,,,1.926944,0.065181,-1.007282
6290,52.417000,,,,1.830947,0.157615,-1.081364,1.751986,0.060569,-1.143421,,,,,,,1.923514,0.065192,-1.010509
6291,52.425000,,,,1.827471,0.157704,-1.084273,1.747326,0.060617,-1.144938,,,,,,,1.920095,0.065107,-1.013718
6292,52.433000,,,,1.824004,0.157698,-1.086859,1.742744,0.060697,-1.146595,,,,,,,1.916535,0.065106,-1.016752
6293,52.442000,,,,1.820512,0.157684,-1.088931,1.738001,0.060801,-1.147978,,,,,,,1.912991,0.065214,-1.019737
6294,52.450000,,,,1.817068,0.157684,-1.090754,1.733176,0.060939,-1.149309,,,,,,,1.909473,0.065186,-1.022769
6295,52.458000,,,,1.813272,0.157726,-1.092339,1.728401,0.060955,-1.150602,,,,,,,1.905842,0.065253,-1.025815
6296,52.467000,,,,1.809170,0.157791,-1.093663,1.723526,0.060884,-1.151851,,,,,,,1.902237,0.065484,-1.028829
6297,52.475000,,,,1.804754,0.157730,-1.094916,1.718790,0.060936,-1.153109,,,,,,,1.898635,0.065396,-1.031736
6298,52.483000,,,,1.800063,0.157807,-1.096161,1.713847,0.060976,-1.154253,,,,,,,1.894874,0.065297,-1.034610
6299,52.492000,,,,1.795267,0.157740,-1.097698,1.708962,0.061057,-1.155407,,,,,,,1.891167,0.065402,-1.037409
6300,52.500000,,,,1.790422,0.157808,-1.099504,1.704092,0.061130,-1.156445,,,,,,,1.887345,0.065556,-1.040269
6301,52.508000,,,,1.785213,0.157964,-1.101382,1.699353,0.061187,-1.157473,,,,,,,1.883526,0.065543,-1.043034
6302,52.517000,,,,1.780346,0.158030,-1.103362,1.694527,0.061242,-1.158469,,,,,,,1.879763,0.065515,-1.045620
6303,52.525000,,,,1.775579,0.158055,-1.105652,1.689588,0.061432,-1.159416,,,,,,,1.875892,0.065503,-1.048305
6304,52.533000,,,,1.771011,0.158298,-1.107936,1.684778,0.061497,-1.160344,,,,,,,1.871993,0.065485,-1.050870
6305,52.542000,,,,1.766753,0.158352,-1.110168,1.679960,0.061560,-1.161206,,,,,,,1.868156,0.065369,-1.053438
6306,52.550000,,,,1.762974,0.158412,-1.112660,1.675254,0.061735,-1.162039,,,,,,,1.864388,0.065190,-1.055954
6307,52.558000,,,,1.759265,0.158499,-1.114914,1.670288,0.061728,-1.162971,,,,,,,1.860527,0.065299,-1.058490
6308,52.567000,,,,1.755479,0.158547,-1.116573,1.665606,0.061868,-1.163758,,,,,,,1.856658,0.065631,-1.061106
6309,52.575000,,,,1.751940,0.158474,-1.117951,1.660677,0.061809,-1.164458,,,,,,,1.852749,0.065638,-1.063689
6310,52.583000,,,,1.748352,0.158380,-1.119099,1.656085,0.061949,-1.165037,,,,,,,1.848947,0.065406,-1.066137
6311,52.592000,,,,1.744560,0.158241,-1.119937,1.651236,0.061788,-1.165418,,,,,,,1.845209,0.065304,-1.068482
6312,52.600000,,,,1.740435,0.158131,-1.120631,1.646466,0.061994,-1.165856,,,,,,,1.841366,0.064907,-1.070885
6313,52.608000,,,,1.735760,0.158264,-1.121023,1.641602,0.062058,-1.166096,,,,,,,1.837549,0.064935,-1.073058
6314,52.617000,,,,1.730792,0.158409,-1.121578,1.636629,0.062031,-1.166346,,,,,,,1.833571,0.065576,-1.075315
6315,52.625000,,,,1.725758,0.158612,-1.122545,1.631899,0.062330,-1.166602,,,,,,,1.829533,0.066031,-1.077541
6316,52.633000,,,,1.720624,0.158751,-1.123345,1.627010,0.062326,-1.166577,,,,,,,1.825476,0.066004,-1.079847
6317,52.642000,,,,1.715621,0.158763,-1.124570,1.622235,0.062479,-1.166815,,,,,,,1.821524,0.065726,-1.081697
6318,52.650000,,,,1.710694,0.158734,-1.126041,1.617415,0.062463,-1.166757,,,,,,,1.817608,0.065477,-1.083647
6319,52.658000,,,,1.705835,0.159037,-1.127503,1.612545,0.062528,-1.166672,,,,,,,1.813732,0.065811,-1.085692
6320,52.667000,,,,1.701260,0.159279,-1.129080,1.607668,0.062762,-1.166626,,,,,,,1.809744,0.066258,-1.087873
6321,52.675000,,,,1.697078,0.159421,-1.130753,1.602819,0.062831,-1.166689,,,,,,,1.805720,0.066292,-1.089877
6322,52.683000,,,,1.693130,0.159315,-1.132246,1.598020,0.062781,-1.166573,,,,,,,1.801664,0.066199,-1.091636
6323,52.692000,,,,1.689261,0.159260,-1.133140,1.593205,0.062863,-1.166521,,,,,,,1.797498,0.066044,-1.093523
6324,52.700000,,,,1.685499,0.159330,-1.133868,1.588442,0.062989,-1.166303,,,,,,,1.793323,0.066071,-1.095282
6325,52.708000,,,,1.681709,0.159390,-1.134315,1.583527,0.063127,-1.166023,,,,,,,1.789126,0.066401,-1.097114
6326,52.717000,,,,1.677649,0.159419,-1.134309,1.578640,0.063173,-1.165743,,,,,,,1.784936,0.066319,-1.098805
6327,52.725000,,,,1.673257,0.159420,-1.134116,1.573714,0.063295,-1.165325,,,,,,,1.780667,0.066279,-1.100474
6328,52.733000,,,,1.668654,0.159379,-1.133954,1.568801,0.063201,-1.164719,,,,,,,1.776538,0.066258,-1.102007
6329,52.742000,,,,1.663795,0.159345,-1.133684,1.564017,0.063244,-1.164206,,,,,,,1.772367,0.066310,-1.103636
6330,52.750000,,,,1.658752,0.159247,-1.133549,1.559143,0.063254,-1.163532,,,,,,,1.768127,0.066429,-1.105096
6331,52.758000,,,,1.653481,0.159373,-1.133690,1.554421,0.063314,-1.163001,,,,,,,1.763820,0.066573,-1.106634
6332,52.767000,,,,1.648162,0.159557,-1.134039,1.549552,0.063255,-1.162283,,,,,,,1.759499,0.066631,-1.108040
6333,52.775000,,,,1.642961,0.159566,-1.134566,1.544767,0.063327,-1.161459,,,,,,,1.755230,0.066657,-1.109390
6334,52.783000,,,,1.637899,0.159689,-1.135370,1.539926,0.063285,-1.160741,,,,,,,1.750862,0.066685,-1.110682
6335,52.792000,,,,1.632949,0.159670,-1.136188,1.535019,0.063260,-1.159852,,,,,,,1.746610,0.066867,-1.112183
6336,52.800000,,,,1.628282,0.159796,-1.136898,1.530190,0.063199,-1.158827,,,,,,,1.742209,0.066911,-1.113312
6337,52.808000,,,,1.623763,0.159630,-1.137469,1.525254,0.062763,-1.157670,,,,,,,1.737808,0.066958,-1.114503
6338,52.817000,,,,1.619508,0.159440,-1.137753,1.520380,0.062440,-1.156503,,,,,,,1.733427,0.067142,-1.115631
6339,52.825000,,,,1.615571,0.159385,-1.137828,1.515511,0.062271,-1.155278,,,,,,,1.728961,0.067011,-1.116625
6340,52.833000,,,,1.611913,0.159481,-1.137595,1.510776,0.062378,-1.154099,,,,,,,1.724661,0.067101,-1.117730
6341,52.842000,,,,1.607822,0.159494,-1.137536,1.505917,0.062048,-1.152881,,,,,,,1.720358,0.067327,-1.118993
6342,52.850000,,,,1.603004,0.159202,-1.136986,1.501148,0.061687,-1.151621,,,,,,,1.715692,0.067617,-1.120153
6343,52.858000,,,,1.598433,0.159108,-1.136043,1.496388,0.061641,-1.150566,,,,,,,1.711189,0.067724,-1.121460
6344,52.867000,,,,1.594156,0.159291,-1.135379,1.491676,0.062155,-1.149527,,,,,,,1.706629,0.067358,-1.122211
6345,52.875000,,,,1.589445,0.159601,-1.134286,1.486957,0.062587,-1.148592,,,,,,,1.702469,0.067126,-1.122925
6346,52.883000,,,,1.584203,0.159480,-1.133810,1.482232,0.062449,-1.147762,,,,,,,1.697844,0.067469,-1.123563
6347,52.892000,,,,1.578746,0.159569,-1.133630,1.477653,0.062418,-1.146651,,,,,,,1.693244,0.067571,-1.124456
6348,52.900000,,,,1.573649,0.159696,-1.133368,1.472961,0.062428,-1.145363,,,,,,,1.688780,0.067540,-1.125235
6349,52.908000,,,,1.568671,0.159832,-1.133248,1.468429,0.062680,-1.143832,,,,,,,1.684393,0.067498,-1.125839
6350,52.917000,,,,1.563557,0.159781,-1.133562,1.463809,0.062597,-1.142364,,,,,,,1.680106,0.067673,-1.126401
6351,52.925000,,,,1.558878,0.159893,-1.133665,1.459230,0.062536,-1.140720,,,,,,,1.675642,0.067889,-1.127154
6352,52.933000,,,,1.554582,0.159990,-1.133516,1.454697,0.062644,-1.139063,,,,,,,1.671258,0.068077,-1.127936
6353,52.942000,,,,1.550652,0.160078,-1.133532,1.450082,0.062693,-1.137490,,,,,,,1.666868,0.068022,-1.128500
6354,52.950000,,,,1.546707,0.160196,-1.133106,1.445555,0.062886,-1.135864,,,,,,,1.662485,0.068007,-1.129003
6355,52.958000,,,,1.542756,0.160176,-1.132471,1.440925,0.062822,-1.134266,,,,,,,1.657890,0.068049,-1.129290
6356,52.967000,,,,1.538910,0.160205,-1.131582,1.436320,0.062915,-1.132536,,,,,,,1.653339,0.068380,-1.129766
6357,52.975000,,,,1.534809,0.160210,-1.130291,1.431699,0.062964,-1.130700,,,,,,,1.648673,0.068469,-1.130229
6358,52.983000,,,,1.530497,0.160103,-1.128773,1.427097,0.062978,-1.128843,,,,,,,1.644196,0.068533,-1.130492
6359,52.992000,,,,1.525830,0.160121,-1.127100,1.422512,0.063056,-1.127113,,,,,,,1.639552,0.068608,-1.130780
6360,53.000000,,,,1.520969,0.160183,-1.125766,1.417799,0.063060,-1.125411,,,,,,,1.634880,0.068553,-1.130750
6361,53.008000,,,,1.515785,0.160134,-1.124300,1.413122,0.063136,-1.123811,,,,,,,1.630215,0.068756,-1.130761
6362,53.017000,,,,1.510389,0.160141,-1.123271,1.408337,0.063039,-1.122345,,,,,,,1.625386,0.068781,-1.130713
6363,53.025000,,,,1.504793,0.160252,-1.122486,1.403544,0.063187,-1.120938,,,,,,,1.620565,0.068969,-1.130572
6364,53.033000,,,,1.499481,0.160426,-1.121907,1.398708,0.063346,-1.119513,,,,,,,1.615694,0.068905,-1.130487
6365,53.042000,,,,1.494335,0.160481,-1.121577,1.393929,0.063554,-1.117973,,,,,,,1.610747,0.068890,-1.130271
6366,53.050000,,,,1.489316,0.160497,-1.121341,1.389111,0.063688,-1.116290,,,,,,,1.605926,0.068713,-1.130075
6367,53.058000,,,,1.484386,0.160505,-1.121050,1.384289,0.063664,-1.114612,,,,,,,1.601150,0.068867,-1.129797
6368,53.067000,,,,1.480057,0.160520,-1.120783,1.379617,0.063872,-1.112912,,,,,,,1.596190,0.068648,-1.129588
6369,53.075000,,,,1.475974,0.160459,-1.120320,1.374884,0.063859,-1.111270,,,,,,,1.591336,0.068522,-1.129239
6370,53.083000,,,,1.472142,0.160382,-1.119794,1.370300,0.064115,-1.109504,,,,,,,1.586605,0.068295,-1.128897
6371,53.092000,,,,1.468599,0.160260,-1.119001,1.365660,0.064354,-1.107804,,,,,,,1.581948,0.067561,-1.128468
6372,53.100000,,,,1.464756,0.160235,-1.116791,1.361027,0.064432,-1.106336,,,,,,,1.577403,0.067110,-1.127967
6373,53.108000,,,,1.460602,0.160227,-1.114748,1.356350,0.064667,-1.104850,,,,,,,1.572538,0.067354,-1.127193
6374,53.117000,,,,1.455968,0.160313,-1.113425,1.351628,0.064676,-1.103468,,,,,,,1.567775,0.067588,-1.126589
6375,53.125000,,,,1.450853,0.160448,-1.111547,1.346911,0.064728,-1.101956,,,,,,,1.563041,0.067680,-1.126110
6376,53.133000,,,,1.445670,0.160647,-1.109543,1.342144,0.064552,-1.100544,,,,,,,1.558068,0.067904,-1.125546
6377,53.142000,,,,1.440409,0.160726,-1.108452,1.337519,0.064623,-1.099175,,,,,,,1.553195,0.067943,-1.125077
6378,53.150000,,,,1.435109,0.160672,-1.107434,1.332823,0.064668,-1.097910,,,,,,,1.548525,0.067839,-1.124569
6379,53.158000,,,,1.429525,0.160811,-1.106570,1.328121,0.064713,-1.096843,,,,,,,1.543837,0.067985,-1.123896
6380,53.167000,,,,1.424197,0.161018,-1.106334,1.323301,0.064723,-1.095845,,,,,,,1.539043,0.068328,-1.123253
6381,53.175000,,,,1.418998,0.161160,-1.106153,1.318607,0.064736,-1.094833,,,,,,,1.534136,0.068686,-1.122669
6382,53.183000,,,,1.414132,0.161186,-1.106026,1.313979,0.064790,-1.093759,,,,,,,1.529402,0.068639,-1.122224
6383,53.192000,,,,1.409609,0.161237,-1.106114,1.309288,0.064709,-1.092824,,,,,,,1.524601,0.068539,-1.121585
6384,53.200000,,,,1.405320,0.161196,-1.105866,1.304655,0.064760,-1.091954,,,,,,,1.519844,0.068469,-1.120971
6385,53.208000,,,,1.401209,0.161286,-1.105513,1.299898,0.064866,-1.091077,,,,,,,1.515087,0.068440,-1.120516
6386,53.217000,,,,1.397165,0.161377,-1.104915,1.295228,0.065002,-1.090276,,,,,,,1.510437,0.068633,-1.119840
6387,53.225000,,,,1.393187,0.161344,-1.104001,1.290520,0.065037,-1.089493,,,,,,,1.505630,0.068556,-1.119109
6388,53.233000,,,,1.389206,0.161379,-1.102800,1.285836,0.065177,-1.088754,,,,,,,1.500906,0.068523,-1.118501
6389,53.242000,,,,1.384849,0.161319,-1.101521,1.281098,0.065326,-1.088118,,,,,,,1.496311,0.068400,-1.117926
6390,53.250000,,,,1.380029,0.161386,-1.100141,1.276337,0.065268,-1.087528,,,,,,,1.491698,0.068546,-1.117283
6391,53.258000,,,,1.374907,0.161353,-1.099006,1.271735,0.065239,-1.086961,,,,,,,1.486830,0.068822,-1.116549
6392,53.267000,,,,1.369796,0.161433,-1.097858,1.267018,0.065227,-1.086471,,,,,,,1.482114,0.068909,-1.115944
6393,53.275000,,,,1.364486,0.161339,-1.097090,1.262345,0.065299,-1.086089,,,,,,,1.477473,0.068759,-1.115363
6394,53.283000,,,,1.358907,0.161377,-1.096424,1.257538,0.065103,-1.085574,,,,,,,1.472760,0.068696,-1.114686
6395,53.292000,,,,1.353551,0.161440,-1.096245,1.252912,0.065055,-1.085097,,,,,,,1.468038,0.068955,-1.113904
6396,53.300000,,,,1.348360,0.161563,-1.096192,1.248182,0.065068,-1.084748,,,,,,,1.463296,0.068998,-1.113318
6397,53.308000,,,,1.343431,0.161665,-1.096271,1.243425,0.065187,-1.084260,,,,,,,1.458651,0.069051,-1.112722
6398,53.317000,,,,1.338807,0.161724,-1.096454,1.238789,0.065002,-1.083920,,,,,,,1.453974,0.069143,-1.112011
6399,53.325000,,,,1.334446,0.161733,-1.096725,1.234238,0.065112,-1.083519,,,,,,,1.449364,0.069206,-1.111375
6400,53.333000,,,,1.330369,0.161756,-1.096627,1.229499,0.065011,-1.083227,,,,,,,1.444831,0.069157,-1.110853
6401,53.342000,,,,1.326318,0.161693,-1.096324,1.224831,0.064986,-1.082868,,,,,,,1.440176,0.069173,-1.110190
6402,53.350000,,,,1.322313,0.161613,-1.095950,1.220165,0.064707,-1.082609,,,,,,,1.435503,0.069501,-1.109585
6403,53.358000,,,,1.318280,0.161622,-1.095152,1.215423,0.064909,-1.082227,,,,,,,1.430891,0.069597,-1.109064
6404,53.367000,,,,1.314424,0.161744,-1.093696,1.210870,0.065451,-1.081967,,,,,,,1.426324,0.069406,-1.108484
6405,53.375000,,,,1.309727,0.161796,-1.092627,1.206392,0.065164,-1.081814,,,,,,,1.421829,0.069445,-1.107694
6406,53.383000,,,,1.304561,0.161614,-1.091618,1.201774,0.064873,-1.081746,,,,,,,1.417243,0.069734,-1.107192
6407,53.392000,,,,1.299728,0.161706,-1.090912,1.197162,0.065042,-1.081538,,,,,,,1.412645,0.069968,-1.106620
6408,53.400000,,,,1.294842,0.162005,-1.089924,1.192541,0.065439,-1.081167,,,,,,,1.408081,0.069708,-1.106024
6409,53.408000,,,,1.289378,0.162054,-1.089395,1.187904,0.065254,-1.080846,,,,,,,1.403717,0.069902,-1.105575
6410,53.417000,,,,1.283908,0.162051,-1.089550,1.183249,0.065393,-1.080522,,,,,,,1.399098,0.070058,-1.105155
6411,53.425000,,,,1.279010,0.162230,-1.089523,1.178636,0.065563,-1.080232,,,,,,,1.394463,0.070088,-1.104574
6412,53.433000,,,,1.274194,0.162381,-1.089739,1.174270,0.065688,-1.079991,,,,,,,1.390035,0.070100,-1.104185
6413,53.442000,,,,1.269510,0.162429,-1.090068,1.169783,0.065588,-1.079835,,,,,,,1.385466,0.070094,-1.103810
6414,53.450000,,,,1.264990,0.162486,-1.090409,1.165245,0.065542,-1.079456,,,,,,,1.380779,0.070321,-1.103313
6415,53.458000,,,,1.260923,0.162519,-1.090539,1.160677,0.065546,-1.079036,,,,,,,1.376153,0.070304,-1.102919
6416,53.467000,,,,1.256920,0.162570,-1.090418,1.156075,0.065498,-1.078719,,,,,,,1.371525,0.070372,-1.102536
6417,53.475000,,,,1.252941,0.162555,-1.089946,1.151405,0.065631,-1.078415,,,,,,,1.366813,0.070536,-1.102028
6418,53.483000,,,,1.248980,0.162499,-1.089149,1.146707,0.065589,-1.078096,,,,,,,1.362152,0.070704,-1.101545
6419,53.492000,,,,1.244749,0.162491,-1.088186,1.142088,0.065581,-1.077712,,,,,,,1.357491,0.070610,-1.101090
6420,53.500000,,,,1.240256,0.162438,-1.086941,1.137295,0.065478,-1.077379,,,,,,,1.352768,0.070466,-1.100612
6421,53.508000,,,,1.235317,0.162390,-1.085853,1.132559,0.065518,-1.076916,,,,,,,1.348075,0.070533,-1.100096
6422,53.517000,,,,1.230199,0.162362,-1.084810,1.127820,0.065384,-1.076515,,,,,,,1.343234,0.070455,-1.099585
6423,53.525000,,,,1.224750,0.162446,-1.083889,1.123070,0.065475,-1.076189,,,,,,,1.338472,0.070658,-1.099113
6424,53.533000,,,,1.219283,0.162402,-1.083408,1.118262,0.065370,-1.075903,,,,,,,1.333646,0.070815,-1.098651
6425,53.542000,,,,1.213608,0.162515,-1.083215,1.113450,0.065404,-1.075548,,,,,,,1.328890,0.070854,-1.098131
