Format Version,1.23,Take Name,Take 2025-12-17 06.57.16 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-17 06.57.16.807 PM,Capture Start Frame,10915629,Total Frames in Take,40845,Total Exported Frames,40845,Rotation Type,ZYX,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036
,ID,"1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E7CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0","1E8CDF4D9ECDA9D11F0"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
128,1.067000,2.054855,0.194739,-0.985614,,,
129,1.075000,2.054832,0.194721,-0.985611,,,
130,1.083000,2.054846,0.194729,-0.985630,,,
131,1.092000,2.054870,0.194687,-0.985614,,,
132,1.100000,2.054867,0.194680,-0.985602,,,
133,1.108000,2.054723,0.194659,-0.985706,,,
134,1.117000,2.054669,0.194702,-0.985663,,,
135,1.125000,2.054678,0.194724,-0.985688,,,
136,1.133000,2.054952,0.194675,-0.985570,,,
137,1.142000,2.055100,0.194624,-0.985512,,,
138,1.150000,2.055037,0.194597,-0.985592,,,
139,1.158000,2.055002,0.194623,-0.985550,,,
140,1.167000,2.055009,0.194595,-0.985583,,,
141,1.175000,2.054962,0.194608,-0.985590,,,
142,1.183000,2.054971,0.194652,-0.985553,,,
143,1.192000,2.054993,0.194668,-0.985598,,,
144,1.200000,2.055013,0.194684,-0.985538,,,
145,1.208000,2.055028,0.194658,-0.985585,,,
146,1.217000,2.054990,0.194672,-0.985601,,,
147,1.225000,2.055000,0.194669,-0.985560,,,
148,1.233000,2.055018,0.194642,-0.985606,,,
149,1.242000,2.055004,0.194659,-0.985562,,,
150,1.250000,2.055036,0.194662,-0.985590,,,
151,1.258000,2.055016,0.194673,-0.985599,,,
152,1.267000,2.055012,0.194661,-0.985578,,,
153,1.275000,2.055034,0.194647,-0.985596,,,
154,1.283000,2.055017,0.194666,-0.985552,,,
155,1.292000,2.055021,0.194660,-0.985555,,,
156,1.300000,2.055015,0.194646,-0.985574,,,
157,1.308000,2.054985,0.194633,-0.985522,,,
158,1.317000,2.054991,0.194661,-0.985587,,,
159,1.325000,2.054980,0.194675,-0.985551,,,
160,1.333000,2.054982,0.194666,-0.985581,,,
161,1.342000,2.054994,0.194672,-0.985612,,,
162,1.350000,2.054988,0.194679,-0.985592,,,
163,1.358000,2.054990,0.194698,-0.985607,,,
164,1.367000,2.055008,0.194674,-0.985561,,,
165,1.375000,2.055029,0.194681,-0.985588,,,
166,1.383000,2.055003,0.194698,-0.985582,,,
167,1.392000,2.055005,0.194687,-0.985568,,,
168,1.400000,2.055004,0.194675,-0.985590,,,
169,1.408000,2.054983,0.194678,-0.985576,,,
170,1.417000,2.055002,0.194651,-0.985570,,,
171,1.425000,2.054991,0.194652,-0.985583,,,
172,1.433000,2.054980,0.194652,-0.985538,,,
173,1.442000,2.054991,0.194641,-0.985561,,,
174,1.450000,2.054968,0.194662,-0.985535,,,
175,1.458000,2.054986,0.194633,-0.985583,,,
176,1.467000,2.054994,0.194635,-0.985588,,,
177,1.475000,2.055001,0.194632,-0.985551,,,
178,1.483000,2.055001,0.194657,-0.985604,,,
179,1.492000,2.055014,0.194649,-0.985568,,,
180,1.500000,2.055030,0.194654,-0.985557,,,
181,1.508000,2.055001,0.194658,-0.985584,,,
182,1.517000,2.055005,0.194657,-0.985542,,,
183,1.525000,2.055015,0.194663,-0.985611,,,
184,1.533000,2.055002,0.194654,-0.985549,,,
185,1.542000,2.055024,0.194676,-0.985577,,,
186,1.550000,2.054988,0.194678,-0.985603,,,
187,1.558000,2.054980,0.194676,-0.985552,,,
188,1.567000,2.054985,0.194655,-0.985576,,,
189,1.575000,2.054967,0.194685,-0.985550,,,
190,1.583000,2.054986,0.194657,-0.985566,,,
191,1.592000,2.054974,0.194667,-0.985597,,,
192,1.600000,2.055002,0.194708,-0.985541,,,
193,1.608000,2.055032,0.194675,-0.985606,,,
194,1.617000,2.055045,0.194689,-0.985559,,,
195,1.625000,2.055037,0.194691,-0.985570,,,
196,1.633000,2.055033,0.194670,-0.985575,,,
197,1.642000,2.055000,0.194681,-0.985536,,,
198,1.650000,2.055000,0.194638,-0.985574,,,
199,1.658000,2.054978,0.194661,-0.985539,,,
200,1.667000,2.054988,0.194674,-0.985547,,,
201,1.675000,2.054996,0.194646,-0.985563,,,
202,1.683000,2.054958,0.194641,-0.985525,,,
203,1.692000,2.054985,0.194650,-0.985570,,,
204,1.700000,2.054959,0.194655,-0.985547,,,
205,1.708000,2.054986,0.194669,-0.985552,,,
206,1.717000,2.054991,0.194657,-0.985600,,,
207,1.725000,2.055010,0.194678,-0.985538,,,
208,1.733000,2.055031,0.194672,-0.985601,,,
209,1.742000,2.055017,0.194680,-0.985581,,,
210,1.750000,2.055028,0.194660,-0.985579,,,
211,1.758000,2.055005,0.194638,-0.985599,,,
212,1.767000,2.055000,0.194682,-0.985557,,,
